query_id	doc_id	priority
1048585	0	2
2	    21	2
524332	29	2
1048642	49	2
524447	51	2
786674	53	2
1048876	55	2
1048917	56	1
786786	57	1
524699	59	1
1048995	66	1
786857	81	1
524722	89	1
873886	91	1
524733	109	1
786918	112	1
786937	117	1
1049085	121	1
262232	165	1
524835	200	1
524848	204	1
1049200	212	1
1049221	237	0
1049329	251	0
1049368	286	0
787255	292	0
262974	326	0
1049456	332	0
1049774	335	0
1049791	336	0
525534	357	0
1288	364	0
1049894	367	0
787784	380	0
1049955	432	0
1050007	438	0
525779	439	0
263670	442	0